year,state_code,state,percent_hisp,percent_hisp100,percent_black,percent_black100,crime_rate, violent_crrate , prop_crrate , unemploy_rate ,state_gdp,log_gdp,repub_both,law_restrict,form_preclear,vep_highest,vep_highest100,median_age,percent_white,percent_white100,white_min50,abs_whitemin50, tot_pop , num_whites , num_blacks , num_minority 
2016,27,Montana,0.036,3.6,0.0060,0.6,349.6,323.7,"2,472.90",4.1,"45,799",5,0,0,0,0.62,62,39.8,0.89,89.44,39.44,39.44,"989,415.00","884,961.00","4,027.00","104,454.00"
2016,28,Nebraska,0.107,10.7,0.0500,5,274.9,280.4,"2,523.50",3.2,"112,208",5,1,1,0,0.63,63,36.2,0.86,86.12,36.12,36.12,"1,826,341.00","1,572,838.00","82,885.00","253,503.00"
2016,29,Nevada,0.285,28.5,0.0960,9.6,695.9,635.6,"2,625.40",5.7,"141,204",5,0,0,0,0.57,57,36.3,0.66,66.16,16.16,16.16,"2,700,551.00","1,786,688.00","218,626.00","913,863.00"
2016,30,New Hampshire,0.035,3.5,0.0150,1.5,199.3,196.1,"1,962.70",2.8,"71,632",5,1,1,1,0.71,71,41.1,0.94,93.89,43.89,43.89,"1,316,470.00","1,236,050.00","15,035.00","80,420.00"
2016,31,New Jersey,0.2,20,0.1500,15,255.4,261.2,"1,734.10",5,"579,379",6,0,0,0,0.64,64,39,0.69,68.58,18.58,18.58,"8,791,894.00","6,029,248.00","1,204,826.00","2,762,646.00"
2016,32,New Mexico,0.485,48.5,0.0250,2.5,656.1,597.4,"3,542.30",6.7,"90,810",5,0,0,0,0.55,55,36.7,0.68,68.37,18.37,18.37,"2,059,179.00","1,407,876.00","42,550.00","651,303.00"
2016,33,New York,0.19,19,0.1770,17.7,379.7,381.8,"1,718.20",4.8,"1,455,568",6,0,0,1,0.57,57,38,0.66,65.75,15.75,15.75,"19,378,102.00","12,740,974.00","3,073,800.00","6,637,128.00"
2016,34,North Carolina,0.092,9.2,0.2220,22.2,347,329.5,"2,873.10",5.1,"509,718",6,0,0,1,0.65,65,37.4,0.68,68.47,18.47,18.47,"9,535,483.00","6,528,950.00","2,048,628.00","3,006,533.00"
2016,35,North Dakota,0.036,3.6,0.0290,2.9,239.4,265.1,"2,110.30",3.2,"53,686",5,1,0,0,0.61,61,37,0.9,90.02,40.02,40.02,"672,591.00","605,449.00","7,960.00","67,142.00"
2016,36,Ohio,0.037,3.7,0.1280,12.8,291.9,284.9,"2,799.10",4.9,"599,093",6,1,1,0,0.63,63,38.8,0.83,82.69,32.69,32.69,"11,536,504.00","9,539,437.00","1,407,681.00","1,997,067.00"
2016,37,Oklahoma,0.103,10.3,0.0780,7.8,422,406,"2,990.70",4.9,"179,835",5,1,0,0,0.52,52,36.2,0.72,72.16,22.16,22.16,"3,751,351.00","2,706,845.00","277,644.00","1,044,506.00"
2016,38,Oregon,0.128,12.8,0.0210,2.1,259.8,232.3,"2,879.00",4.9,"228,120",5,0,0,0,0.66,66,38.4,0.84,83.65,33.65,33.65,"3,831,074.00","3,204,614.00","69,206.00","626,460.00"
2016,39,Pennsylvania,0.07,7,0.1180,11.8,315.1,314.1,"1,931.70",5.4,"684,313",6,0,0,0,0.64,64,40.1,0.82,81.92,31.92,31.92,"12,702,379.00","10,406,288.00","1,377,689.00","2,296,091.00"
2016,40,Rhode Island,0.149,14.9,0.0810,8.1,242.5,219.2,"2,173.60",5.3,"56,323",5,0,1,0,0.59,59,39.4,0.81,81.41,31.41,31.41,"1,052,567.00","856,869.00","60,189.00","195,698.00"
2016,41,South Carolina,0.055,5.5,0.2750,27.5,504.5,497.7,"3,460.30",4.8,"199,256",5,1,1,1,0.57,57,37.9,0.66,66.16,16.16,16.16,"4,625,364.00","3,060,000.00","1,290,684.00","1,565,364.00"
2016,42,South Dakota,0.037,3.7,0.0200,2,383.1,326.5,186.9,2.8,"45,415",5,1,0,1,0.59,59,36.9,0.86,85.9,35.9,35.9,"814,180.00","699,392.00","10,207.00","114,788.00"
2016,43,Tennessee,0.052,5.2,0.1710,17.1,612.1,608.4,"3,060.60",4.8,"310,276",5,1,1,0,0.51,51,38,0.78,77.56,27.56,27.56,"6,346,105.00","4,921,948.00","1,057,315.00","1,424,157.00"
2016,44,Texas,0.391,39.1,0.1260,12.6,412.2,405.9,"3,019.40",4.6,"1,639,375",6,1,1,1,0.52,52,33.6,0.7,70.4,20.4,20.4,"25,145,561.00","17,701,552.00","2,979,598.00","7,444,009.00"
2016,45,Utah,0.138,13.8,0.0140,1.4,236,215.6,"2,878.50",3.4,"148,225",5,1,0,0,0.57,57,29.2,0.86,86.09,36.09,36.09,"2,763,885.00","2,379,560.00","29,287.00","384,325.00"
2016,46,Vermont,0.019,1.9,0.0130,1.3,118,99.3,"1,524.40",3.3,"29,750",4,0,0,0,0.64,64,41.5,0.95,95.29,45.29,45.29,"625,741.00","596,292.00","6,277.00","29,449.00"
2016,47,Virginia,0.091,9.1,0.1980,19.8,195.6,196.2,"1,930.30",4,"480,876",6,0,1,1,0.66,66,37.5,0.69,68.58,18.58,18.58,"8,001,024.00","5,486,852.00","1,551,399.00","2,514,172.00"
2016,48,Washington,0.124,12.4,0.0410,4.1,284.4,285.2,"3,706.10",5.4,"449,404",6,0,0,0,0.65,65,37.3,0.77,77.27,27.27,27.27,"6,724,540.00","5,196,362.00","240,042.00","1,528,178.00"
2016,49,West Virginia,0.015,1.5,0.0360,3.6,337.9,302,"2,034.70",6,"71,123",5,0,0,0,0.5,50,41.3,0.94,93.9,43.9,43.9,"1,852,994.00","1,739,988.00","63,124.00","113,006.00"
2016,50,Wisconsin,0.067,6.7,0.0660,6.6,305.8,290.3,"2,088.30",4.1,"300,699",5,1,1,0,0.69,69,38.5,0.86,86.2,36.2,36.2,"5,686,986.00","4,902,067.00","359,148.00","784,919.00"
2016,51,Wyoming,0.1,10,0.0130,1.3,222.1,195.5,"1,964.70",5.3,"40,170",5,1,0,0,0.6,60,36.8,0.91,90.71,40.71,40.71,"563,626.00","511,279.00","4,748.00","52,347.00"
